,_id,address,description,discoverers,late6,lnge6,location,name,player,timestamp,updated,usage,index
0,ObjectId(5c223622816b2431634e8b19),"Hylperdijk 2, 8711 HJ Workum, Netherlands",,"[{""agent"":""ellende"",""team"":""ALIENS""}]",52967186,5426965,"{""type"":""Point"",""coordinates"":[5.426965,52.967186]}",Molen Workum,_NEUTRAL_,2020-07-18T13:52:24.620Z,2020-07-18T13:52:24.620Z,"{""timestamp"":{""$numberLong"":""1588103535528""},""plain"":6}",5366552
1,ObjectId(5c65115063c50c1d51e70e9a),"Stienitzseestraße 33, 12489 Berlin, Germany",,"[{""agent"":""Si9"",""team"":""ALIENS""}]",52440244,13549760,"{""type"":""Point"",""coordinates"":[13.54976,52.440244]}",Erich Steinfurth,,2012-11-15T00:00:00.000Z,2019-02-14T06:57:20.000Z,"{""timestamp"":{""$numberLong"":""1490000000000""},""plain"":2}",7928040
2,ObjectId(5dd0ee0dbf5db3472afc744c),"Rua Edgar Torres, 878 - Minas Caixa, Belo Horizonte - MG, 31610-510, Brazil",Arte urbana,[],-19807552,-43954239,"{""type"":""Point"",""coordinates"":[-43.954239,-19.807552]}",Grafite Irmãos Metralha,_NEUTRAL_,2020-07-19T15:15:07.555Z,2020-07-19T15:15:07.555Z,"{""timestamp"":{""$numberLong"":""1580516993627""},""plain"":2}",9785072
3,ObjectId(5e9d2a5e402e17f771e8e238),"U 5 ježků, Podzásepská, Hoděšovice, Býšť, okres Pardubice, Pardubický kraj, Northeast, 533 22, Czech Republic",,[],50168534,15926050,"{""type"":""Point"",""coordinates"":[15.92605,50.168534]}",Dendrofon,_NEUTRAL_,2020-07-18T09:28:38.897Z,2020-07-18T09:28:38.897Z,,11496402
4,ObjectId(5c22358a816b24316329ac0d),"Zámok 2267/1, 920 01 Hlohovec, Slovakia",,"[{""agent"":""doktorlevin"",""team"":""RESISTANCE""},{""agent"":""Mattmaus"",""team"":""ALIENS""}]",48419408,17788097,"{""type"":""Point"",""coordinates"":[17.788097,48.419408]}",Tabula Polepsovne,_NEUTRAL_,2020-07-19T01:43:30.537Z,2020-07-19T01:43:30.537Z,"{""timestamp"":{""$numberLong"":""1574613857921""},""plain"":1}",3026947
5,ObjectId(5c22369c816b243163681cea)," South Korea, Cheju, Ido 2(i)-dong, 106 이도주공1단지아파트 ",나의 행복충전소,"[{""agent"":""hanmiho"",""team"":""ALIENS""}]",33492170,126534565,"{""type"":""Point"",""coordinates"":[126.534565,33.49217]}",세븐일레븐 제주이도중앙점,_NEUTRAL_,2020-07-20T02:52:10.332Z,2020-07-20T02:52:10.332Z,"{""timestamp"":{""$numberLong"":""1580294265148""},""plain"":2}",6981393
6,ObjectId(5c2235a9816b2431633166ec),"577-2 Yabechō, Totsuka-ku, Yokohama-shi, Kanagawa-ken 244-0002, Japan",梅園稲荷社,"[{""agent"":""756B"",""team"":""ALIENS""},{""agent"":""makototension"",""team"":""ALIENS""}]",35410826,139532052,"{""type"":""Point"",""coordinates"":[139.532052,35.410826]}",梅園稲荷社,756B,2020-01-09T13:15:39.000Z,2020-07-19T06:54:13.163Z,"{""timestamp"":{""$numberLong"":""1590618557480""},""plain"":4}",3515241
7,ObjectId(5e0337ed1d69b2b9becc6939),"Prospekt P. Belyayeva, 16, Naberezhnye Chelny, Respublika Tatarstan, Russia, 423809",Площадка с горкой и крутилкой,[],55736163,52402160,"{""type"":""Point"",""coordinates"":[52.40216,55.736163]}",Детская площадка 16/09,_NEUTRAL_,2020-07-18T11:42:40.220Z,2020-07-18T11:42:40.220Z,"{""timestamp"":{""$numberLong"":""1585230933522""},""plain"":3}",10366706
8,ObjectId(5c223545816b2431631617da),"210 Cedar Avenue, St. Charles, IL 60174, USA",Local boutique business,"[{""agent"":""lilzen"",""team"":""RESISTANCE""}]",41914824,-88311589,"{""type"":""Point"",""coordinates"":[-88.311589,41.914824]}",Directions in Clothing,_NEUTRAL_,2020-07-19T00:54:25.333Z,2020-07-19T00:54:25.333Z,"{""timestamp"":{""$numberLong"":""1588272944414""},""plain"":3}",1780334
9,ObjectId(5c44c369f9cca9d4cbe645a4),"Rúa Alexandre Bóveda, 127, 36989 O Con, Pontevedra, Spain",Campo De Fútbol 7 En Terra De Porto.,"[{""agent"":""MoNPhOto"",""team"":""ALIENS""}]",42495449,-8873661,"{""type"":""Point"",""coordinates"":[-8.873661,42.495449]}",Campo Fútbol 7,ValenPortonovo,2020-07-01T23:04:45.000Z,2020-07-19T07:23:04.132Z,"{""timestamp"":{""$numberLong"":""1593644634141""},""plain"":3}",7655647
10,ObjectId(5c493c72f9cca9d4cb1d7449),"Japan, 〒360-0832 Saitama-ken, Kumagaya-shi, Kojima, 熊谷さくら運動公園施設管理事務所",施設管理事務所前にある公園の案内図。,"[{""agent"":""0siliuz0"",""team"":""RESISTANCE""}]",36155680,139345310,"{""type"":""Point"",""coordinates"":[139.34531,36.15568]}",熊谷さくら運動公園案内図,ShakeChirakomu,2020-06-21T10:17:55.000Z,2020-07-20T00:53:06.323Z,"{""timestamp"":{""$numberLong"":""1592737270062""},""plain"":4}",7698467
11,ObjectId(5c223583816b24316327718d),"Woudweg 9, 7381 BA Klarenbeek, Netherlands",,"[{""agent"":""Panchov"",""team"":""ALIENS""}]",52165499,6014708,"{""type"":""Point"",""coordinates"":[6.014708,52.165499]}",Beekbergerwoud,EtRaket,2020-06-28T11:00:33.000Z,2020-07-17T19:07:17.240Z,"{""timestamp"":{""$numberLong"":""1593342033165""},""plain"":2}",2884529
